word,id,date,text,author_id,term_meaning,term_category,usage_context,is_ironic,annotation_notes
roofie,7546062160,2010-01-09,The only thing i remembered from that night was you telling me you were gonna roofie me and the color of my vommit,58416118,an illicit sedative drug used to incapacitate someone,manipulation,self_description,false,Manual override -> self_description
roofie,7546758888,2010-01-09,"@TayoYayo hey man, I'm looking to roofie us all and recreate the hangover",15042427,an illicit sedative drug used to incapacitate someone,manipulation,humor,false,Manual override -> humor
roofie,7547398515,2010-01-09,R u married? No. Do u want a latvian beer? No thx i don't want ur roofie colada!,21169769,an illicit sedative drug used to incapacitate someone,manipulation,humor,false,Manual override -> humor
roofie,7547488804,2010-01-09,"Haha at the spot.. Some guy buys me champagne and My friend reggie secretly pours it out behind a couch.. ""That nigga wuz gunna roofie u""",38602662,an illicit sedative drug used to incapacitate someone,manipulation,storytelling,false,Manual override -> storytelling
roofie,7547526297,2010-01-09,"Overheard: ""don't roofie me, bro!""",4459441,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,Manual override -> casual_conversation
roofie,7548684212,2010-01-09,Girl has agreed to second tweetup. No I did not slip her a roofie.,4534291,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,Manual override -> casual_conversation
roofie,7548750462,2010-01-09,"RT @jimcollins: Girl has agreed to second tweetup. No I did not slip her a roofie.  // did you tell her about your ""past""",16190478,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,Manual override -> casual_conversation
roofie,7550539707,2010-01-09,Just told someone not to slip a roofie in my drink. Lol,15854716,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,Manual override -> casual_conversation
roofie,7551414581,2010-01-09,"@funnebone it's easier to slip a roofie into nachos, didn't ya know?",39064613,an illicit sedative drug used to incapacitate someone,manipulation,humor,false,Manual override -> humor
roofie,7552391068,2010-01-09,@Patspice ha ha but i guess it works the same way as a roofie. . My clothes would come off just as fast for the man!,59001174,an illicit sedative drug used to incapacitate someone,manipulation,humor,false,Manual override -> humor
roofie,7857866938,2010-01-17,Slip me a roofie,9115332,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,Manual override -> casual_conversation
roofie,7858433328,2010-01-17,@KingGill Aww Roofie. Sat nights have never been the same since Iguana huh?,26187132,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,Manual override -> casual_conversation
roofie,7858605899,2010-01-17,"@AClockworkToad Your ""roofie"" aint got nothing on what @WhitTweets is trippin' on.",15948360,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,Manual override -> casual_conversation
roofie,7859381602,2010-01-17,I miss da studio I hope it miss me bk.I mke love 2 da beat & I fk da track.Got da ACOUSTICS JUICY so no need 2 rape em I can lose da roofie,75296299,an illicit sedative drug used to incapacitate someone,manipulation,music_discussion,false,Manual override -> music_discussion
roofie,7860204867,2010-01-17,@roofie2 Hi there - question what is your name?? Sounds a bit odd to call you roofie!!,79877074,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,Manual override -> casual_conversation
roofie,7862716886,2010-01-17,"Kudos to @Probablydrunk for party, nibbles and 'roofie' spiked Gummi Cola Bottles :)",14966106,an illicit sedative drug used to incapacitate someone,manipulation,humor,false,Manual override -> humor
roofie,7868560586,2010-01-17,@Nita_1315: Random: i luv my friends but if u give me a ROOFIE were gonna have the best fight ever! Ass Kicking! After watchin THE HANGOVER!,28007887,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,Manual override -> casual_conversation
roofie,7871000277,2010-01-17,@roofie2 Hi Roofie!! How r u? It is the Dallas Cowboys vs Minnesota Vikings! Cowboys gotta win! Big game for them!!...,78797381,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,Manual override -> casual_conversation
roofie,7871319864,2010-01-17,@roofie2 Yes big fan... Thanks Roofie(Ruthie) Go Boys!!,78797381,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,Manual override -> casual_conversation
roofie,7872591241,2010-01-17,ITS TIMES LIKE THESE THAT I WISH MY DAD WERE HERE. I think I drank 2 much last night ... Or somebody gave me a roofie!,36450252,an illicit sedative drug used to incapacitate someone,manipulation,self_description,false,Manual override -> self_description
roofie,8135502166,2010-01-24,"@litlgrey: Seems to me the Repubs will punch you in the face & hold you down at knifepoint, but the Dems give you a roofie. End result same.",16086877,an illicit sedative drug used to incapacitate someone,manipulation,criticism,false,Manual override -> criticism
roofie,8136162019,2010-01-24,"Ok I jus did something else, I put eye makeup remover all over my face thinkin it was toner WTF FML right now did sum1 slip me a roofie",24122706,an illicit sedative drug used to incapacitate someone,manipulation,self_description,false,Manual override -> self_description
roofie,8136813644,2010-01-24,Sonya is going to roofie @joevondon,16197055,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,Manual override -> casual_conversation
roofie,8139380257,2010-01-24,@jessstini dont roofie yourself @sdizzbabes dont make ne bad late nite decisions @itsallaboutl take care of your girls!,24053894,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,Manual override -> casual_conversation
roofie,8140553589,2010-01-24,"@mishyyyyy ""and instead we got invited to a roofie(sp!?) party""",25002998,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,Manual override -> casual_conversation
roofie,8141602684,2010-01-24,@aiadriano How do YOU know he won't remember? Did you give him a roofie?,16555246,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,Manual override -> casual_conversation
roofie,8141926043,2010-01-24,"@normalguyguide Yeah. Just think: each red cup represents a chick who knows what a roofie tastes like. Yay, rapies.",23834426,an illicit sedative drug used to incapacitate someone,manipulation,criticism,false,Manual override -> criticism
roofie,8155386896,2010-01-24,RT @PISTOLPETE1019: &lt;--still drunk «~ ME TOO MAN ..UR FACEBOOK FAN TRIED SLIPPIN U A ROOFIE,41503545,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,Manual override -> casual_conversation
roofie,8156782067,2010-01-24,@SiKByTcH haaaa I did not do that!!!  I don't need to roofie it. I get what I want «LoL»,51628709,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,Manual override -> casual_conversation
roofie,8157609834,2010-01-24,@roofie2 Hi Roofie.. I am fine. Got home and had to thaw out my feet! They were freezing! How r u after ur healthy meal u had?,78797381,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,Manual override -> casual_conversation
roofie,8224649695,2010-01-26,You slipped yourself a roofie...??? Lol RT @McFattyFat: Yo dis wine got me sein things in my dreams and I'm hotttttttt lol,99220502,an illicit sedative drug used to incapacitate someone,manipulation,humor,false,Manual override -> humor
roofie,8225917658,2010-01-26,"OH: What, did everyone get a free roofie in their drink tonight a Big Star?&lt;--------@imneverfull",20415487,an illicit sedative drug used to incapacitate someone,manipulation,commenting,false,Manual override -> commenting
roofie,8226951917,2010-01-26,"""I'm not some drunk sorority chick, you can't roofie me."" haha Damon has the best lines",46632146,an illicit sedative drug used to incapacitate someone,manipulation,television_reference,false,Manual override -> television_reference
roofie,8229505313,2010-01-26,http://twitpic.com/ztu5p - Coked out roofie.,28653614,an illicit sedative drug used to incapacitate someone,manipulation,article_sharing,false,Manual override -> article_sharing
roofie,8244010439,2010-01-26,"RT@ebutka @AlliePlisko btw, dont believe @themikewarra, i dont roofie girls. Lol/ thats a damn lie",62548360,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,Manual override -> casual_conversation
roofie,8246763196,2010-01-26,"And the best way to get me to commit to anything is the ""no, I don't wanna, I'm gonna have a sandwich,"" approach. Oh I will roofie you, Mom!",13026512,an illicit sedative drug used to incapacitate someone,manipulation,humor,false,Manual override -> humor
roofie,8248043207,2010-01-26,Is it legal to roofie someone if you don't actually plan on sleeping with them?,14827187,an illicit sedative drug used to incapacitate someone,manipulation,commenting,false,Manual override -> commenting
roofie,8250994192,2010-01-26,@chosenaguila lol how u eat somethin an not know what it was ohh guuuuurl u betta hope they didn't slip u a roofie lol,49873553,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,Manual override -> casual_conversation
roofie,8251248873,2010-01-26,@ASmith86 Guess its better than getting slipped a roofie. *shrug*,26618156,an illicit sedative drug used to incapacitate someone,manipulation,commenting,false,Manual override -> commenting
roofie,8251617373,2010-01-26,@lady_virago Roofie?  Yikes...did you take advanage of him!?,36870588,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,
roofie,8708565389,2010-02-06,"need to slip my wife a roofie so i can turn on the PS3... stuck watching ghost shows. thus, the tweeting",16641307,an illicit sedative drug used to incapacitate someone,manipulation,television_reference,false,Manual override -> television_reference
roofie,8711486363,2010-02-06,"Its called the roofie colada!! RT @kesi_p: http://twitpic.com/11mjsk - My bartender is the best. Idk WAT this is, but this bih is hittin!",22722353,an illicit sedative drug used to incapacitate someone,manipulation,article_sharing,false,
roofie,8711715681,2010-02-06,@C3rtifi3dFr3sh who gave u a roofie?,27118529,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,
roofie,8713309730,2010-02-06,"Yo, you better be following my rar rar Roofie-licious @RuthieDateRape :D Cause she'll make you feel all funny &happy :D",33124793,an illicit sedative drug used to incapacitate someone,manipulation,casual_conversation,false,
roofie,8714197902,2010-02-06,@JJones20 i have a great excuse..... i was ROOFIE'D LOL,23506067,an illicit sedative drug used to incapacitate someone,manipulation,humor,false,
roofie,8714524433,2010-02-06,#FromMyObservation #UknowIwannaFuck  when I PUT the roofie in YOUR drink..,111204209,an illicit sedative drug used to incapacitate someone,manipulation,commenting,false,
