month,slang_term,posts,avg_sentiment_score,avg_virality_score
2022-05,NPC,117,-0.2757777777777778,0.001700854700854701
2022-06,NPC,168,-0.3254642857142857,0.0031190476190476194
2022-07,NPC,215,-0.34893023255813954,0.003702325581395349
2022-08,NPC,289,-0.37444982698961937,0.005387543252595156
2022-09,NPC,284,-0.34561971830985916,0.005225352112676056
2022-10,NPC,386,-0.3584740932642487,0.007033678756476683
2022-11,NPC,397,-0.36835768261964735,0.00841057934508816
2022-12,NPC,474,-0.3576118143459916,0.008518987341772153
2023-01,NPC,533,-0.3655028142589118,0.009151969981238274
2023-02,NPC,544,-0.3485845588235294,0.011244485294117647
2023-03,NPC,584,-0.3717859589041096,0.01193664383561644
2023-04,NPC,583,-0.3176620926243568,0.01197427101200686
2023-05,NPC,548,-0.34053284671532846,0.016286496350364964
2023-06,NPC,499,-0.35646492985971945,0.014901803607214428
2023-07,NPC,594,-0.3602693602693603,0.01938383838383838
2023-08,NPC,554,-0.36990974729241877,0.017119133574007222
2023-09,NPC,608,-0.40504769736842106,0.014881578947368421
2023-10,NPC,569,-0.3533286467486819,0.01486115992970123
2023-11,NPC,556,-0.33720863309352517,0.013877697841726619
2023-12,NPC,592,-0.37191047297297297,0.014844594594594595
2024-01,NPC,539,-0.31423747680890535,0.012706864564007422
2024-02,NPC,539,-0.3489536178107607,0.010571428571428572
2024-03,NPC,548,-0.3371551094890511,0.011275547445255475
2024-04,NPC,527,-0.36100189753320683,0.00989753320683112
2024-05,NPC,500,-0.31252199999999997,0.00829
2024-06,NPC,426,-0.35089906103286383,0.00814319248826291
2024-07,NPC,422,-0.3371635071090047,0.007462085308056872
2024-08,NPC,382,-0.3806492146596858,0.00643979057591623
2024-09,NPC,308,-0.33216883116883117,0.005561688311688312
2024-10,NPC,267,-0.32800749063670415,0.0045767790262172285
2024-11,NPC,129,-0.33861240310077517,0.0019302325581395348
2024-12,NPC,125,-0.36987200000000003,0.002096
2025-01,NPC,103,-0.3028640776699029,0.0018446601941747574
2025-02,NPC,105,-0.32963809523809523,0.0014666666666666667
2025-03,NPC,95,-0.332178947368421,0.0018105263157894738
2025-04,NPC,85,-0.3295411764705882,0.0011647058823529412
2023-08,Roman Empire,277,0.3330613718411552,0.0054187725631768945
2023-09,Roman Empire,574,0.3572595818815331,0.012019163763066202
2023-10,Roman Empire,543,0.3210055248618785,0.015351749539594844
2023-11,Roman Empire,528,0.3088617424242424,0.014443181818181819
2023-12,Roman Empire,483,0.2573768115942029,0.008465838509316771
2024-01,Roman Empire,326,0.29053067484662576,0.006420245398773006
2024-02,Roman Empire,125,0.27166399999999996,0.002144
2024-03,Roman Empire,103,0.39436893203883494,0.0018640776699029127
2024-04,Roman Empire,116,0.31517241379310346,0.0018189655172413791
2024-05,Roman Empire,95,0.33227368421052633,0.0017157894736842107
2024-06,Roman Empire,83,0.26477108433734936,0.0010843373493975904
2024-07,Roman Empire,75,0.20841333333333334,0.0012933333333333334
2021-05,ate,131,0.5014198473282443,0.001198473282442748
2021-06,ate,171,0.5123625730994152,0.0022105263157894735
2021-07,ate,249,0.494574297188755,0.002967871485943775
2021-08,ate,281,0.49553736654804276,0.004245551601423488
2021-09,ate,334,0.4694461077844311,0.005434131736526946
2021-10,ate,423,0.46242789598108747,0.006040189125295509
2021-11,ate,459,0.4694400871459695,0.006455337690631808
2021-12,ate,495,0.4547292929292929,0.007632323232323233
2022-01,ate,571,0.4975271453590193,0.007609457092819614
2022-02,ate,552,0.4693550724637681,0.00958876811594203
2022-03,ate,604,0.4754718543046358,0.01218046357615894
2022-04,ate,566,0.4542491166077739,0.010710247349823322
2022-05,ate,588,0.4501870748299319,0.01136734693877551
2022-06,ate,559,0.48045617173524147,0.013386404293381038
2022-07,ate,565,0.4606283185840708,0.012235398230088497
2022-08,ate,564,0.4743191489361702,0.013962765957446808
2022-09,ate,567,0.442015873015873,0.012261022927689593
2022-10,ate,573,0.48024956369982547,0.010626527050610821
2022-11,ate,585,0.46455042735042734,0.010353846153846154
2022-12,ate,571,0.44248511383537653,0.010243432574430824
2023-01,ate,538,0.45369702602230483,0.009171003717472119
2023-02,ate,487,0.4660431211498973,0.01201848049281314
2023-03,ate,496,0.42365322580645165,0.009028225806451613
2023-04,ate,535,0.4217943925233645,0.008211214953271028
2023-05,ate,519,0.45039884393063584,0.007759152215799615
2023-06,ate,475,0.43869473684210525,0.007277894736842105
2023-07,ate,458,0.440410480349345,0.007185589519650655
2023-08,ate,426,0.41300234741784037,0.005877934272300469
2023-09,ate,384,0.4532161458333333,0.005440104166666667
2023-10,ate,376,0.4664175531914893,0.004984042553191489
2023-11,ate,332,0.40289156626506023,0.004668674698795181
2023-12,ate,309,0.4147831715210356,0.003954692556634304
2024-01,ate,273,0.4352197802197802,0.003860805860805861
2024-02,ate,127,0.5253307086614173,0.0014488188976377952
2024-03,ate,110,0.4074,0.0011636363636363637
2024-04,ate,97,0.48481443298969074,0.00111340206185567
2024-05,ate,102,0.44599999999999995,0.001107843137254902
2024-06,ate,98,0.43739795918367347,0.0009591836734693877
2024-07,ate,76,0.45961842105263156,0.0006842105263157895
2024-06,aura,118,0.2379406779661017,0.001771186440677966
2024-07,aura,194,0.2649587628865979,0.0032886597938144332
2024-08,aura,308,0.24866233766233764,0.005902597402597403
2024-09,aura,314,0.29982165605095545,0.007646496815286624
2024-10,aura,395,0.2819620253164557,0.007367088607594937
2024-11,aura,500,0.278588,0.009986
2024-12,aura,612,0.28740032679738564,0.010960784313725491
2025-01,aura,581,0.27547332185886403,0.012877796901893288
2025-02,aura,498,0.2957168674698795,0.013242971887550201
2025-03,aura,566,0.2605353356890459,0.01848939929328622
2025-04,aura,557,0.27004488330341114,0.01675942549371634
2025-05,aura,578,0.25718339100346016,0.01711072664359862
2025-06,aura,541,0.28244362292051756,0.014724584103512016
2025-07,aura,608,0.27426151315789477,0.01533388157894737
2025-08,aura,517,0.2654796905222437,0.015179883945841393
2025-09,aura,557,0.2948402154398564,0.013429084380610414
2025-10,aura,590,0.1951220338983051,0.014515254237288135
2025-11,aura,546,0.2878901098901099,0.010192307692307693
2025-12,aura,534,0.22885393258426967,0.009625468164794006
2020-09,based,92,0.4488695652173913,0.0012934782608695653
2020-10,based,144,0.5267638888888889,0.0016180555555555557
2020-11,based,172,0.47054651162790695,0.0023953488372093026
2020-12,based,229,0.4772838427947598,0.00288646288209607
2021-01,based,267,0.44877528089887636,0.003295880149812734
2021-02,based,282,0.48519148936170214,0.0042624113475177305
2021-03,based,326,0.5081840490797547,0.004567484662576687
2021-04,based,376,0.48806648936170216,0.007513297872340426
2021-05,based,392,0.47773724489795916,0.005607142857142857
2021-06,based,429,0.466941724941725,0.008981351981351983
2021-07,based,464,0.4509073275862069,0.007629310344827586
2021-08,based,563,0.46015985790408526,0.00736056838365897
2021-09,based,532,0.46970112781954887,0.008364661654135339
2021-10,based,575,0.46362086956521736,0.007412173913043479
2021-11,based,558,0.4500286738351254,0.008405017921146955
2021-12,based,611,0.4428887070376432,0.00855810147299509
2022-01,based,580,0.4858068965517241,0.011679310344827587
2022-02,based,556,0.510386690647482,0.010922661870503598
2022-03,based,587,0.4684838160136286,0.012379897785349234
2022-04,based,498,0.4764859437751004,0.010686746987951808
2022-05,based,611,0.4331325695581015,0.012454991816693945
2022-06,based,608,0.4702713815789474,0.011240131578947368
2022-07,based,575,0.43968,0.012036521739130435
2022-08,based,537,0.4362290502793296,0.010445065176908751
2022-09,based,533,0.4712363977485929,0.01
2022-10,based,614,0.4248273615635179,0.009789902280130294
2022-11,based,538,0.4271375464684015,0.008828996282527882
2022-12,based,567,0.4453774250440917,0.008506172839506174
2023-01,based,599,0.44200333889816357,0.009846410684474123
2023-02,based,511,0.41811741682974557,0.008305283757338551
2023-03,based,552,0.4288985507246377,0.008626811594202899
2023-04,based,515,0.4160621359223301,0.006607766990291262
2023-05,based,492,0.4266991869918699,0.006172764227642276
2023-06,based,441,0.4356621315192744,0.006063492063492063
2023-07,based,390,0.45849743589743586,0.004946153846153847
2023-08,based,427,0.4382201405152225,0.005124121779859485
2023-09,based,338,0.44792011834319523,0.004899408284023668
2023-10,based,329,0.41199392097264437,0.007513677811550152
2023-11,based,297,0.4317542087542087,0.003898989898989899
2023-12,based,266,0.43294736842105264,0.0033345864661654136
2024-01,based,126,0.41193650793650793,0.0011666666666666665
2024-02,based,96,0.4544270833333333,0.0011354166666666667
2024-03,based,89,0.5336741573033708,0.0011123595505617978
2024-04,based,91,0.48627472527472526,0.0008901098901098901
2024-05,based,96,0.3955208333333333,0.0008958333333333334
2024-06,based,70,0.4577428571428572,0.0008714285714285714
2023-03,beige flag,140,0.046914285714285714,0.004142857142857143
2023-04,beige flag,268,0.09357089552238805,0.005470149253731343
2023-05,beige flag,415,0.10485060240963855,0.00806987951807229
2023-06,beige flag,513,0.061723196881091624,0.009955165692007798
2023-07,beige flag,601,0.06448086522462562,0.012760399334442596
2023-08,beige flag,593,0.09876053962900505,0.014284991568296795
2023-09,beige flag,584,0.05440068493150685,0.015547945205479452
2023-10,beige flag,586,0.05387372013651877,0.01585494880546075
2023-11,beige flag,581,0.10473838209982789,0.013082616179001721
2023-12,beige flag,564,0.06040425531914893,0.012093971631205673
2024-01,beige flag,556,0.051208633093525184,0.012260791366906476
2024-02,beige flag,490,0.10574285714285714,0.010006122448979592
2024-03,beige flag,499,0.02511623246492986,0.010561122244488977
2024-04,beige flag,424,0.0850943396226415,0.008297169811320755
2024-05,beige flag,380,0.015605263157894737,0.007252631578947368
2024-06,beige flag,348,0.10924712643678161,0.0063678160919540235
2024-07,beige flag,279,0.032641577060931896,0.004673835125448029
2024-08,beige flag,114,-0.05478070175438596,0.0019122807017543859
2024-09,beige flag,114,0.09453508771929824,0.001587719298245614
2024-10,beige flag,101,0.1272970297029703,0.0018712871287128712
2024-11,beige flag,94,0.05428723404255319,0.0014574468085106385
2024-12,beige flag,96,0.0395,0.0013437500000000001
2025-01,beige flag,70,0.11965714285714285,0.001042857142857143
